Date,Open,High,Low,Close,Adj Close,Volume
2018-11-14,54.000000,54.090000,52.480000,52.750000,52.750000,691800
2018-11-15,52.770000,53.200001,51.869999,53.099998,53.099998,680000
2018-11-16,52.549999,52.830002,51.580002,52.439999,52.439999,760200
2018-11-19,52.439999,52.439999,51.000000,51.189999,51.189999,1179700
2018-11-20,50.619999,51.259998,49.070000,49.139999,49.139999,1532600
2018-11-21,49.520000,51.720001,49.419998,50.849998,50.849998,606600
2018-11-23,50.910000,51.770000,50.750000,51.560001,51.560001,401600
2018-11-26,51.830002,52.139999,50.869999,50.980000,50.980000,612300
2018-11-27,58.439999,62.009998,57.720001,58.759998,58.759998,7923800
2018-11-28,60.389999,62.689999,59.459999,62.430000,62.430000,3144000
2018-11-29,61.849998,62.840000,61.770000,62.000000,62.000000,1551900
2018-11-30,62.000000,64.230003,62.000000,64.120003,64.120003,1561100
2018-12-03,64.650002,64.940002,63.490002,64.559998,64.559998,1251800
2018-12-04,63.689999,65.349998,62.700001,63.130001,63.130001,1443600
2018-12-06,64.419998,64.860001,62.279999,64.589996,64.589996,2025000
2018-12-07,63.919998,64.489998,58.939999,59.669998,59.669998,2046300
2018-12-10,60.009998,60.660000,58.200001,60.419998,60.419998,1505000
2018-12-11,60.820000,61.970001,59.970001,61.430000,61.430000,674100
2018-12-12,61.549999,61.990002,60.380001,60.970001,60.970001,852300
2018-12-13,61.230000,61.680000,59.840000,60.660000,60.660000,908700
2018-12-14,59.770000,61.610001,58.889999,59.009998,59.009998,980900
2018-12-17,59.009998,59.410000,57.599998,58.139999,58.139999,1078200
2018-12-18,58.380001,59.470001,58.270000,58.549999,58.549999,911300
2018-12-19,58.720001,59.660000,57.389999,57.790001,57.790001,911300
2018-12-20,57.250000,57.939999,54.529999,56.009998,56.009998,1102900
2018-12-21,56.189999,56.730000,54.369999,54.790001,54.790001,1135200
2018-12-24,54.139999,55.709999,53.549999,54.279999,54.279999,502400
2018-12-26,54.630001,57.830002,54.049999,57.759998,57.759998,1029900
2018-12-27,56.950001,57.130001,54.590000,57.099998,57.099998,624700
2018-12-28,57.330002,58.270000,56.599998,57.520000,57.520000,523100
2018-12-31,57.570000,59.020000,57.430000,57.919998,57.919998,770900
2019-01-02,57.169998,58.189999,56.529999,57.840000,57.840000,734500
2019-01-03,57.080002,57.360001,52.520000,53.959999,53.959999,1431100
2019-01-04,54.759998,57.540001,54.610001,56.099998,56.099998,929200
2019-01-07,55.869999,58.709999,55.400002,57.669998,57.669998,1616900
2019-01-08,58.570000,58.599998,56.910000,57.060001,57.060001,1407000
2019-01-09,57.060001,59.619999,56.869999,59.450001,59.450001,1078500
2019-01-10,57.919998,61.090000,56.139999,60.750000,60.750000,1665600
2019-01-11,60.139999,60.520000,59.220001,60.110001,60.110001,1098000
2019-01-14,59.340000,59.810001,58.180000,58.830002,58.830002,874900
2019-01-15,59.029999,59.930000,58.070000,58.560001,58.560001,1203900
2019-01-16,59.380001,61.700001,59.380001,60.759998,60.759998,1384700
2019-01-17,61.709999,61.970001,59.549999,60.310001,60.310001,1347700
2019-01-18,60.910000,60.990002,58.820000,59.360001,59.360001,1191000
2019-01-22,59.220001,59.650002,57.669998,58.060001,58.060001,1063300
2019-01-23,58.500000,58.619999,57.189999,57.419998,57.419998,1136300
